Job_Title,Nivel_Jerarquico,Area_Mayor,Area_Menor
Senior HRBP & Labor Relations Manager,Gerente,Recursos Humanos,
Senior HRBP Manager,Gerente,Recursos Humanos,
Senior HRBP Manager - Consumer Health LAN,Gerente,Recursos Humanos,
Senior HUB Buyer,Gerente,Administración,Compras
Senior Human Resources Business Partner,Director,Recursos Humanos,
Senior Human Resources Director Nissan Mexico and Latin America,Director,Recursos Humanos,
Senior Human Resources Generalist - Vice President Human Resources,Director General,Recursos Humanos,
Senior Human Resources Manager,Gerente,Recursos Humanos,
Senior Human Resources Manager NIBU,Gerente,Recursos Humanos,
Senior IBS VP Strategy & Value Delivery + LATAM CIO,Gerente,Estrategia,Estrategia
Senior Incident Manager Coordinator,Gerente,,
Senior Index Manager,Gerente,,
Senior Information Technology Development Manager,Gerente,Tecnología,
Senior Information Technology Program Manager,Gerente,Tecnología,
Senior Infrastructure Program and Project Manager,Gerente,,
Senior Innovation & E-Commerce Manager,Gerente,Marketing,E-Commerce
Senior Innovation Digital Manager,Gerente,Marketing,Marketing Digital
Senior Inside Sales Manager,Gerente,Comercial,Ventas
Senior Instructional Designer,Gerente,Marketing,Marketing
Senior Integration Manager,Gerente,Tecnología,
Senior Interactive Art Director,Director,,
Senior Interactive Designer,Gerente,,
Senior Internal Audit Manager,Gerente,Administración,Auditoría
Senior International Brand Manager,Gerente,Marketing,Branding
Senior International Product Manager,Gerente,Operaciones,Producción
Senior Investment Manager,Gerente,,
Senior Investment Officer - Asset Management Company,Director,,
Senior IoT Architect,Gerente,,
Senior IS Manager,Gerente,,
"Senior IT Applications Manager, LATAM and New Store Opening for AMER and LATAM",Gerente,Comercial,Tienda
Senior IT Consultant for project management of the Urban Train Mexico-Toluca,Gerente,Tecnología,
Senior IT Manager,Gerente,Tecnología,
Senior IT Program Manager,Gerente,Tecnología,
Senior Key Account  Manager AR&C,Gerente,Comercial,Cuentas
Senior Key Account Executive,Ejecutivo,,
Senior Key Account Manager,Gerente,Comercial,Cuentas
Senior Key Account Manager - Soriana Fabric & Home Care,Gerente,Comercial,Cuentas
Senior Key Account Manager at VIS - Mercado Libre,Gerente,Marketing,Cuentas
Senior Key Account Manager Gobierno / ITS,Gerente,Comercial,Cuentas
Senior Key Account Manager Walmart,Gerente,Comercial,Cuentas
Senior Key Account Manager Walmart & Sam's,Gerente,Comercial,Cuentas
Senior Label Manager,Gerente,,
Senior Latin America Human Resources Manager,Gerente,Recursos Humanos,
Senior Lawyer,,Jurídico,Abogado
Senior LE staff supervisor,Gerente,,
Senior Lead Data Manager,Gerente,,
Senior Lead Talent Acquisition,Gerente,Recursos Humanos,Reclutamiento
Senior Leader - Revenue Strategy,Gerente,,
Senior Lecturer,Gerente,,
Senior Legal & Business Conduct Director for Mexico and LatAM Distributor Countries.,Director,Jurídico,
Senior Legal & Commercial Counsel - Mexico & Caribbean,Gerente,Comercial,Ventas
Senior Legal Advisor for the CEO Pemex Downstream,Gerente,Jurídico,
Senior Legal and Compliance Director,Director,Jurídico,
Senior Legal Counsel,Gerente,Jurídico,
"Senior Legal Counsel  (Andina, Centro America & Mexico)",,Jurídico,
"Senior Legal Counsel - Marketing, Governmental & Business Sales",Gerente,Comercial,Ventas
"Senior Legal Counsel - Mexico, Central America & Venezuela",,Jurídico,
Senior Legal Counsel & Business Ethics and Compliance,Gerente,Jurídico,
Senior Legal Counsel ICG,,Jurídico,
Senior Legal Counsel LATAM,Gerente,Jurídico,
Senior Legal Director,Director,Jurídico,
Senior Legal Director. Trademark Counsel Latin America,Director,Jurídico,
Senior Legal Infrastructure Manager,Gerente,Jurídico,
Senior Legal Manager,Gerente,Jurídico,
Senior Legal Manager México and CamCar,Gerente,Jurídico,
Senior Licensing Manager,Gerente,Bienes Raices,Ingeniería
Senior Lifestyle Manager,Gerente,,
Senior Liquid Systems Engineer Coordinator LATAM,Gerente,,
Senior Logistics Coordinator,Gerente,Operaciones,Logística
Senior Logistics Manager,Gerente,Operaciones,Logística
Senior Maintenance Engineer,,Operaciones,Mantenimiento
Senior Maintenance Manager,Gerente,Operaciones,Mantenimiento
Senior Management,Gerente,,
Senior Management Consultant,Gerente,,
Senior Manager,Gerente,Administración,Auditoría
Senior Manager  Latin America Financial Services Advisory,Gerente,Finanzas,
Senior Manager - Advisory - Risk & Trading IT,Gerente,Tecnología,
Senior Manager - Advisory Financial Services,Gerente,Finanzas,
Senior Manager - Analytics and Business Intelligence,Gerente,Comercial,Negocios
Senior Manager - Ancillary Revenue,Gerente,,
Senior Manager - Audit CM,Gerente,Administración,Auditoría
Senior manager - Call Center- Telemarketing y Estrategia Comercial,Gerente,Marketing,
Senior Manager - Corporate Finance,Director,Finanzas,
Senior Manager - Executive Search,Gerente,,
Senior Manager - EY Consulting,Gerente,Bienes Raices,Ingeniería
Senior Manager - Finance & Tax,Gerente,Gerente,Recursos Humanos
Senior manager - Finance Division,Gerente,Finanzas,
Senior Manager - Global Audit Quality,Gerente,Administración,Auditoría
Senior Manager - Integrity Diligence,Gerente,,
Senior Manager - Internal Audit Services,Gerente,Administración,Auditoría
Senior Manager - Production planning,Gerente,,
"Senior Manager - Sales & Marketing, FMCG, Services, Digital",Gerente,Comercial,Ventas
Senior Manager - Service & operations,Gerente,Operaciones,
Senior Manager - Strategy & Portfolio,Gerente,,Estrategia
Senior Manager - Strategy and Transactions - Transactions and Corporate Finance,Gerente,Finanzas,
Senior Manager - Supply Chain Management Lead,Gerente,Operaciones,LOgística
Senior Manager - Technology Consulting,Gerente,Tecnología,
Senior Manager - Transfer Pricing,Gerente,Marketing,Transformacion Digital
Senior manager - Trust Solutions,Gerente,,
Senior Manager (Auditoría),Gerente,Administración,Auditoría
Senior Manager / Lead Consultant,Gerente,,
Senior Manager / Tax Services,Gerente,,
"Senior Manager / Team Leader, Regulatory Affairs Brands CMC",Gerente,Marketing,Branding
Senior Manager & Account Executive,Gerente,Comercial,Cuentas
Senior Manager accounting and tax compliance services,Gerente,Administración,Contabilidad
Senior Manager Advance Unique Experience,Gerente,,
Senior Manager Advanced Manufacturing and Industry 4.0,Gerente,,
Senior Manager Advanced Unique Experiece,Gerente,,
Senior Manager Advanced Unique Experience,Gerente,,
Senior Manager AML Audit LATAM,Gerente,Administración,Auditoría
Senior Manager Analytics,Gerente,,Análisis
Senior Manager Asset Control LATAM North,Gerente,,
Senior Manager Asset Protection LATAM en CHEP,Gerente,,
Senior Manager at EY - Parthenon,Gerente,,
"Senior Manager at KPMG Cardenas Dosal, S. C. (Mexico)",Gerente,,
Senior Manager Audit,Gerente,Administración,Auditoría
Senior Manager Audit - BUPP,Gerente,Administración,Auditoría
Senior Manager Audit Professional Practice,Gerente,Administración,Auditoría
"Senior Manager Audit, Risk & Compliance",Gerente,Administración,Auditoría
Senior Manager Auditoria,Gerente,Administración,Auditoría
Senior Manager B. P.,Gerente,,
Senior Manager BI & BD,Gerente,,
Senior Manager Brand Finance,Gerente,Finanzas,
Senior Manager Brand Insights,Gerente,Marketing,Branding
Senior Manager Business Analysis,Gerente,,Análisis
Senior Manager Business Consulting,Gerente,Comercial,Negocios
Senior Manager Business Development,Gerente,Comercial,Ventas
Senior Manager Business Intelligence,Gerente,,
Senior Manager Business Operations,Gerente,Operaciones,
Senior Manager Capital Markets Accounting and Financial Reporting Advisory,Gerente,Finanzas,
Senior Manager Claims Ops,Gerente,,
Senior Manager Client Experiencie,Gerente,,
Senior Manager Communications & Public Affairs,Gerente,,
Senior Manager Compensation,Gerente,Recursos Humanos,Nominas
Senior Manager Compensation & Benefits,Gerente,Recursos Humanos,Nominas
Senior Manager Consultancy Services,Director,,
Senior Manager Corporate Internal Audit,Gerente,Administración,Auditoría
SENIOR MANAGER CORPORATE SECURITY,Gerente,Tecnología,Seguridad
Senior Manager Creative Services NoLA en Avon,Director,,
Senior Manager Customer Experience,Gerente,,
"Senior Manager Customer Quality, Training and Retail concept",Gerente,Recursos Humanos,Capacitación
Senior Manager de Auditoría y Consultoría para el Sector Financiero,Gerente,Administración,Auditoría
Senior Manager de Financiamiento Corporativo,Director,Finanzas,
Senior Manager Ecommerce,Gerente,Marketing,E-Commerce
"Senior Manager eCommerce & Commercial Strategies, Consumer Banking",Gerente,Marketing,E-Commerce
Senior Manager Ecommerce & CX,Gerente,Marketing,E-Commerce
Senior Manager Ecommerce TI (DevOps),Gerente,Marketing,E-Commerce
Senior Manager en Banca de Empresas y Gobierno,Gerente,,
Senior Manager Engineering & Construction,Gerente,Construcción,Ingeniería
Senior Manager Engineering and Maintenance,Gerente,Operaciones,Mantenimiento
Senior Manager EY Private & Business Development Programs,Gerente,Comercial,Ventas
Senior Manager Fabric & Home Care - Costco Mx,Gerente,,
Senior Manager Finance,Gerente,Finanzas,
Senior Manager Finance Account,Gerente,Finanzas,
Senior Manager Finance Accounting,Gerente,Administración,Contabilidad
Senior Manager Finance Customer - LA OU,Gerente,Finanzas,
Senior Manager Finance Operations,Gerente,Finanzas,
"Senior Manager Finance Operations, Global",Gerente,Finanzas,
Senior Manager Finance Projects,Gerente,Finanzas,
Senior Manager Financial Planning Analyst - Ryder Mexico,Gerente,Finanzas,Planeación
Senior Manager Financial Reporting,Gerente,Finanzas,
Senior Manager Financial Risks,Gerente,Finanzas,
Senior Manager Financial Services,Gerente,Finanzas,
Senior Manager Financial Services (Insurance),Gerente,Finanzas,
Senior Manager FMG Investment & Cost Management,Gerente,,
Senior Manager for Account Management for Spanish Speaking LATAM,Gerente,Comercial,Cuentas
Senior Manager for Business Development WALMART LATAM,Gerente,Comercial,Ventas
Senior Manager for Global Recruiting Operations,Gerente,Operaciones,
Senior Manager for Purchasing & Product Development,Gerente,Administración,Compras
Senior Manager for Technology Liaisons,Gerente,Tecnología,
Senior Manager Formula & Process,Gerente,,
Senior Manager Franchise Operations,Gerente,Operaciones,
Senior Manager Global Health & Policy,Gerente,,
Senior Manager Global Sourcing,Gerente,,
Senior Manager Gobierno Informacional Banco y Mercados,Gerente,Marketing,Digital Marketing
Senior Manager Growing Gulf & Nursery,Gerente,,
Senior Manager GTB,Gerente,,
Senior Manager HCCO MexiCam - Consumer Health/Vision and Surgical Vision,Gerente,,
Senior Manager HR & Administration,Gerente,Recursos Humanos,
Senior Manager HR Transformation,Gerente,Recursos Humanos,
Senior Manager HRBP,Gerente,Recursos Humanos,
Senior Manager In House Consultancy & Strategic Support,Gerente,,Estrategia
Senior Manager in Marketing,Gerente,Marketing,
Senior Manager in PAS Performance,Gerente,,
Senior Manager Information Security,Gerente,Tecnología,Seguridad de la Información
Senior Manager Innovations Mexico,Gerente,,
Senior Manager Inteligencia Comercial,Gerente,Comercial,Ventas
Senior Manager Interactive,Gerente,,
Senior Manager Internal Audit,Gerente,Administración,Auditoría
Senior Manager Internal Audit / Local Internal Audit Head,Director,Administración,Auditoría
Senior Manager Internal Communications,Gerente,,
Senior Manager Internal Control,Gerente,,
Senior Manager International Tax,Gerente,,
Senior Manager IT Vallejo Fabric & Home Care Plant,Gerente,Tecnología,
Senior Manager Key Account Clubes de Precio,Gerente,,
Senior Manager Latam Internal Audit,Gerente,Administración,Auditoría
Senior Manager Latam Product Control & Volcker,Gerente,Operaciones,
Senior Manager Learning & Development,Gerente,Comercial,Investigación y Desarrollo
Senior Manager Logistics & Distribution,Gerente,Operaciones,Logística
"Senior Manager Market Intelligence and Planning, Consumer Electronics.",Gerente,Marketing,Digital Marketing
Senior Manager Marketing,Gerente,Marketing,
Senior Manager Marketing Communications,Gerente,Marketing,
Senior Manager Marketing Strategy,Gerente,Marketing,
Senior Manager Mentoría Fundación,Gerente,,
Senior Manager Mobile MKT & Emerging Income,Gerente,Marketing,Marketing
Senior Manager Multimedia Sales,Gerente,Comercial,Ventas
Senior Manager New Business Development,Gerente,Comercial,Ventas
Senior Manager of Corporate Finance in Energy & Infrastructure,Gerente,Finanzas,
Senior Manager of ID&G Programs,Gerente,,
"Senior Manager of Instruction, HR, Marketing and IT departments.",Gerente,Recursos Humanos,
Senior manager of marketing. advertising. brand. PR. content and visual merchandising,Gerente,Marketing,Branding
Senior Manager of parkings at Grupo Danhos,Gerente,,
Senior Manager of Profesional Practice,Gerente,,
"Senior Manager of Programming, Monitoring and Control of Projects",Gerente,Bienes Raices,Proyecto
"Senior Manager of Project Management, Quality Assurance & Operations",Gerente,Operaciones,Producción
Senior Manager of Referral Partners,Director,,
"Senior Manager of Supplier Quality, Americas Suppliers",Gerente,Operaciones,LOgística
Senior Manager of Supply Chain,Gerente,Operaciones,LOgística
Senior Manager of Tax Policy,Gerente,,
Senior Manager on Information Technology Projects,Gerente,Tecnología,
Senior Manager operations,Gerente,Operaciones,
"Senior Manager Organizational Development,",Gerente,Recursos Humanos,Desarrollo
Senior Manager Partnerships (Sr Key Account Manager),Director,Comercial,Cuentas
Senior Manager Players & Scouting,Gerente,Bienes Raices,Ingeniería
Senior Manager PMO L&D,Gerente,Tecnología,Project Manager
Senior Manager Product Customs House Brokerage MX,Gerente,Operaciones,
Senior Manager Product Marketing,Gerente,Marketing,
Senior Manager Product Strategy,Gerente,,
Senior Manager Production Apparel,Gerente,Operaciones,Producción
Senior Manager Program Management,Gerente,,
Senior Manager Project Finance,Gerente,Finanzas,
Senior Manager Project Management,Gerente,Bienes Raices,Proyecto
"Senior Manager Project Management, LATAM",Gerente,,
Senior Manager Properties / Real Estate,Director,Bienes Raices,Bienes Raices
"Senior Manager PSG, NOLA",Gerente,,
Senior Manager Public Affairs,Gerente,,
Senior Manager Public Policy MX,Gerente,,
Senior Manager QMS and Compliance,Gerente,Jurídico,Compliance
Senior Manager Quality Control,Gerente,Operaciones,Calidad
Senior Manager Quantitative Solutions and Technology,Gerente,Tecnología,
Senior Manager Regulatory Affairs,Gerente,,
Senior Manager Retail,Gerente,,
Senior Manager Risk Management,Gerente,Administración,Riesgo
Senior Manager Risk Services Mexico and Latin America,Gerente,Administración,Riesgo
Senior Manager Safety - IQVIA Biotech,Gerente,,
Senior Manager Safety Regulatory Intelligence,Gerente,,
Senior Manager Sales,Gerente,Comercial,Ventas
Senior Manager Sales & Business Ops.,Gerente,Comercial,Ventas
Senior Manager Sales and Market Development MEX - USA,Gerente,Comercial,Ventas
Senior Manager Sales Business Development,Gerente,Comercial,Ventas
Senior Manager Sales Operations,Gerente,Comercial,Ventas
Senior manager services,Gerente,,
Senior Manager Strategic Alliances,Gerente,,
Senior Manager Strategic Planning,Gerente,Bienes Raices,Ingeniería
Senior Manager Strategic Sourcing,Gerente,,
Senior Manager Strategy & Operations,Gerente,Operaciones,
Senior Manager Strategy Business Development,Gerente,Comercial,Ventas
Senior Manager Supply Chain Management,Gerente,Operaciones,LOgística
Senior Manager Talent & Learning Latam,Gerente,Recursos Humanos,Reclutamiento
Senior Manager Talent Acquisition,Gerente,Recursos Humanos,Reclutamiento
Senior Manager Tax,Gerente,,
Senior Manager Tax Mobility,Gerente,,
Senior Manager Team Operations and Logistics,Gerente,Operaciones,Logística
Senior Manager Tech,Gerente,Tecnología,Tecnología
Senior Manager Telecommunications and Cybersecurity,Gerente,,
Senior Manager Topline Franchise Support,Gerente,,
Senior Manager Transfer Pricing,Gerente,Marketing,Transformacion Digital
Senior Manager Treasury Advisory Services,Gerente,Finanzas,Tesorería
Senior Manager TS&C en BBVA,Gerente,,
Senior Manager Valuation Capital Equipment at Ernst &Young,Gerente,Finanzas,Tesorería
Senior Manager Vehicle Profit - Product Economic Control Americas,Gerente,Tecnología,
Senior Manager- Enterprise Risk Services,Director,Administración,Riesgo
Senior manager- Sales and Solutions Architecture,Gerente,Comercial,Ventas
"Senior Manager,  Cybersecurity Consulting Services",Gerente,Bienes Raices,Seguridad
"Senior Manager, Accenture Strategy",Gerente,Estrategia,Estrategia
"Senior Manager, Advisor and Analyst Relations LATAM",Gerente,,Análisis
"Senior Manager, Audit & Assurance - Credit Risk",Gerente,Administración,Auditoría
"Senior Manager, Business Analytics, Americas",Gerente,Comercial,Negocios
"Senior Manager, Business Change LATAM",Gerente,,
"Senior Manager, Business Consulting, BNC LATAM (reports to Consulting Director)",Director,Comercial,Negocios
"Senior Manager, Business Development",Gerente,Comercial,Ventas
"Senior Manager, Business Development Analysis",Gerente,Comercial,Ventas
"Senior Manager, Client Strategy & New Business",Gerente,,
"Senior Manager, Clinical Project Delivery",Gerente,,
"Senior Manager, Clinical Trial Management",Gerente,,
"Senior Manager, Commercial & Supply Chain Finance LATAM",Gerente,Finanzas,LOgística
"Senior Manager, Compliance, International Wealth & Insurance",Gerente,Jurídico,Compliance
"Senior Manager, Creative & Product Development",Gerente,Marketing,Creativo
"Senior Manager, Creative Advertising & Partnerships",Gerente,,
"Senior Manager, Customer Experience",Gerente,,
"Senior Manager, Financial Planning LATAM",Gerente,Finanzas,Planeación
"Senior Manager, Food & Beverage Marketing - Caribbean & Latin America",Gerente,Marketing,
"Senior Manager, Forensic",Gerente,Dirección General,Dirección General
"Senior Manager, Government and Public Affairs",Gerente,,
"Senior Manager, IT Business Partnering Mexico/LatAm",Director,Tecnología,
"Senior Manager, Last Mile eCommerce",Gerente,Marketing,E-Commerce
"Senior Manager, LATAM",Gerente,,
"Senior Manager, Mexico Oceans, Development",Gerente,Comercial,Investigación y Desarrollo
"Senior Manager, Network Planning and Scheduling",Gerente,,
"Senior Manager, Organizational Development",Gerente,Recursos Humanos,Desarrollo
"Senior Manager, People Advisory Services",Gerente,,
"Senior Manager, People Resources - LATAM",Gerente,,
"Senior Manager, Recruiting",Gerente,Bienes Raices,Ingeniería
"Senior Manager, Regional Category Developer.",Gerente,,
"Senior Manager, Regional Lead at Activision Mobile",Gerente,,
"Senior Manager, Regional Sales North LATAM",Gerente,Comercial,Ventas
"Senior Manager, Sales & Business Development",Gerente,Comercial,Ventas
"Senior Manager, Salesforce.com Consulting",Gerente,Comercial,Ventas
"Senior Manager, Strategy & Consulting",Gerente,Bienes Raices,Ingeniería
"Senior Manager, Supplier Relations Mexico & Costa Rica",Gerente,Operaciones,LOgística
"Senior Manager, Sustainable Finance",Gerente,Finanzas,
"Senior Manager, Technology Alliances",Gerente,Tecnología,
"Senior Manager. Internal Audit, Risk & Compliance Services",Gerente,Administración,Auditoría
Senior Manager/Global ITSM Lead,Gerente,,
Senior Managing Consultant,Gerente,Bienes Raices,Ingeniería
"Senior Managing Consultant (Mining, Gas Pipelines and Power)",Gerente,Bienes Raices,Ingeniería
Senior Managing Director,Director,Bienes Raices,Ingeniería
Senior Managing Director / Operating Partner,Director,Operaciones,
Senior Managing Partener,Gerente,,
Senior Managing Partner,,,
Senior Manger Quality & Transformation LATAM & Caribbean,Gerente,Operaciones,Transformacion Digital
Senior Manufacturing Manager,Gerente,,
Senior Market Access Manager,Gerente,Marketing,
Senior Market Development Officer,Gerente,Marketing,
Senior marketing and insights & analytics director,Director,Marketing,Análisis
Senior Marketing Brand Manager,Gerente,Marketing,Branding
"Senior Marketing Brand Manager (Primary Care - Gastroenterology, Hepatology & Antihistamines)",Gerente,Marketing,Branding
Senior Marketing Communications Manager,Gerente,Marketing,
Senior Marketing Communications Manager (CE),Gerente,Marketing,
Senior Marketing Communications Specialist,Ejecutivo,Marketing,
Senior Marketing Controller - L'Oréal Paris,Gerente,Marketing,
Senior Marketing Coordinator,Gerente,Marketing,
Senior Marketing Director,Director,Marketing,
Senior Marketing Director - Global Tequila & Don Julio Brand Director,Director,Marketing,Branding
Senior Marketing Director PHC,Director,Marketing,
Senior Marketing Director Walmart Supercenter / Superama,Director,Marketing,
Senior Marketing Manager,Gerente,Marketing,
SENIOR MARKETING MANAGER - DOG CHOW,Gerente,Marketing,
Senior Marketing Manager - Football,Gerente,Marketing,
Senior Marketing Manager ‚Äì Consumer Electronics,Gerente,Marketing,
"Senior Marketing Manager (WC, AWC, OR & CT)",Gerente,Marketing,
Senior Marketing Manager Cattle,Gerente,Marketing,
Senior Marketing Manager CLOROX - N-Latam,Gerente,Marketing,
Senior Marketing Manager Derma,Gerente,Marketing,
Senior Marketing Manager Ecommerce,Gerente,Marketing,E-Commerce
Senior Marketing Manager Fragrance Category Mexico & North LatAm,Gerente,Marketing,
Senior Marketing Manager LATAM,Gerente,Marketing,
Senior Marketing Manager LATAM - Amazon Marketplace,Gerente,Marketing,
Senior Marketing Manager LATAM (Magento an Adobe Company),Gerente,Marketing,
Senior Marketing Manager MAC Cosmetics,Gerente,Marketing,
Senior Marketing Manager Mexico,Gerente,Marketing,
Senior Marketing Manager NOLA Upfield Professional,Gerente,Marketing,
Senior Marketing Manager Nutritional Support,Gerente,Marketing,
Senior Marketing Manager of Baby Food,Gerente,Marketing,
Senior Marketing Manager Skincare Cluster,Gerente,Marketing,
Senior Marketing Manager SPALDING Mexico,Gerente,Marketing,
Senior Marketing Manager Trade/ Consumer & Comms,Gerente,Marketing,Trade
"Senior Marketing Manager, LST",Gerente,Marketing,
Senior Marketing Research Manager,Gerente,Marketing,
Senior Marketing Services Manager,Gerente,Marketing,
Senior Marketing Transformation Manager,Gerente,Marketing,
"Senior Marketplace Manager, Amazon Renewed",Gerente,Marketing,Digital Marketing
Senior Materials Planner,Gerente,,
Senior Media & Digital Marketing Manager,Gerente,Marketing,Digital
Senior Media Designer at Learning and Performance,Gerente,Bienes Raices,
Senior Media Manager,Gerente,,
Senior Medical Affairs Manager,Gerente,Salud,Médico
Senior Medical Case Manager,Gerente,,
Senior Medical Director at ICON Clinical Research,Director,Salud,Médico
Senior Medical Director M-SERM,Director,Salud,Médico
Senior Medical Information Manager,Gerente,,Información
Senior Medical Information Manager I,Gerente,,Información
Senior Médical Manager,Gerente,,
Senior Member Satisfaction Manager,Gerente,,
Senior Merchandise Manager,Gerente,Bienes Raices,
Senior Merchandising Manager,Gerente,Bienes Raices,Ingeniería
Senior Merchant Solutions Manager LATAM,Gerente,,
Senior National Sales & Marketing Manager,Gerente,Marketing,
Senior National Sales Manager,Gerente,Comercial,Ventas
Senior Nonfiction Editor,Gerente,,
Senior Officer ‚òÖ Consul / Attaché ‚òÖ Law Enforcement Liaison ‚òÖ International Operations Command,Gerente,Operaciones,
"Senior Omnichannel, eCommerce & Last Mile Director",Director,Marketing,E-Commerce
Senior On Premise Controller,Gerente,Finanzas,Contraloría
Senior Oncology Product Manager,Gerente,Operaciones,
Senior Operation Key Account Manager,Gerente,Operaciones,
Senior Operation Manager Latin America - Consumer Cloud Service,Gerente,Operaciones,
Senior Operational Controller,Gerente,Operaciones,
Senior Operational Study Manager,Gerente,Operaciones,
Senior Operations Director LATAM,Director,Operaciones,
Senior operations manager,Gerente,Operaciones,
Senior Operations Supervisor,Gerente,Operaciones,
Senior Operations Supervisor / Supervisor de Operaciones Senior,Gerente,Operaciones,
Senior Operations Supervisor Brand,Gerente,Operaciones,
Senior Order Fulfillment Manager Mexico,Gerente,,
Senior Outbound Resorts Sales Supervisor,Gerente,Comercial,Ventas
Senior Packaging Engineer / Ingeniero de Empaque Senior,,,
Senior Partner,Director,Dirección General,Dirección General
Senior Partner & Managing Director,Director,Dirección General,Dirección General
Senior Partner Developer Manager,Director,,Desarrollo
Senior Pastor/Founder,Director General,Dirección General,Fundador
Senior Payroll Specialist Sr Manager,Gerente,,
Senior Planner Buyer,Gerente,Administración,Compras
Senior Plant Accounting Manager,Gerente,,
Senior Policy Director for the Global Clean Air Initiative,Director,,
Senior Portfolio Manager,Gerente,,
Senior PPC,Gerente,Bienes Raices,
Senior Pricing Manager,Gerente,Bienes Raices,Ingeniería
Senior Principal,Gerente,Dirección General,Dirección General
Senior Principal Business Development for Mexico and Central America,Gerente,Comercial,Ventas
Senior Process & Systems Engineer,,,
Senior Process Engineer,Gerente,,Ingeniería
Senior Process Specialist,,,
Senior Process Technologist,,Tecnología,
Senior Procurement,,,
Senior Procurement  & Supply Chain Manager,Gerente,Administración,Compras
Senior Procurement Analyst,Gerente,Administración,Compras
Senior Procurement Coordinator,Gerente,Administración,Compras
Senior Procurement Equipment and Spare Parts,Gerente,Administración,Compras
Senior Procurement Executive,Gerente,Administración,Compras
Senior Procurement Leader,Gerente,Administración,Compras
Senior Procurement Manager,Gerente,Administración,Compras
Senior Procurement Manager - NA Region,Gerente,,
Senior Procurement Manager -Packaging category (México),Gerente,Administración,Compras
Senior Procurement Manager Capex & Opex,Gerente,Administración,Compras
Senior Procurement Manager eCommerce,Gerente,Administración,Compras
"Senior Procurement Manager Latam - Closures, Assemblies, Tubs & Lids",Gerente,Administración,Compras
Senior Procurement Project Manager,Gerente,Administración,Compras
Senior Procurement Specialist,Gerente,Administración,Compras
Senior Procurement Specialist Chemicals,Gerente,Administración,Compras
Senior Procurement Specialist Markets & Innobuyer Hair Care Mx,Gerente,Administración,Compras
Senior Procurement Supervisor,Gerente,Administración,Compras
Senior Procurement Supply Chain,Gerente,Administración,Compras
Senior Producer,Gerente,Operaciones,
Senior Product  & Digital Marketing Manager,Gerente,Marketing,Digital
Senior Product Development Managerin,Gerente,Operaciones,
Senior Product Line Manager,Gerente,Operaciones,
Senior Product Manager,Gerente,Operaciones,
Senior Product Manager - Latin America - Industrial Solutions,Gerente,Operaciones,
Senior Product Manager (Financial Transactions),Gerente,Finanzas,
Senior Product Manager RMMH,Gerente,Operaciones,
Senior Product Manager Supply Chain Excellence,Gerente,Operaciones,LOgística
"Senior Product Manager, MX Cash Payments",Gerente,Operaciones,Producción
"Senior Product Manager, Outlook (Global Team)",Gerente,,Producción
"Senior Product Manager, Public Sector Solutions",Gerente,Operaciones,
"Senior Product Marketing Manager - Gadgets, Tools & Bakeware",Gerente,Marketing,
Senior Product Owner,Director,Marketing,Product Owner
Senior Product Owner Coppel Pay - Digital Financial Services,Gerente,Finanzas,
Senior Production Specialist,,,
Senior Production Supervisor,Gerente,Operaciones,Producción
Senior Professional,Gerente,Académica,Docencia
Senior Professional Financial Systems,,Finanzas,
Senior Program Manager,Gerente,Bienes Raices,
Senior Program Manager / Cloud Native Architect,Gerente,,
Senior Program Manager Lead Latam,Gerente,,
"Senior Program Manager, Strategic Initiatives - Retail Banking",Gerente,,Ingeniería
Senior Project Management,Gerente,Bienes Raices,Proyecto
Senior Project Management Specialist,Gerente,Bienes Raices,Proyecto
Senior Project Management Specialist at FedEx,Gerente,Bienes Raices,Proyecto
Senior Project Manager,Gerente,Gerente,Tecnología
Senior Project Manager (USA),Gerente,Tecnología,Project Manager
Senior Project Manager / Scrum Master,Gerente,Tecnología,Project Manager
Senior project manager & Agile Coach,Gerente,Tecnología,Project Manager
Senior Project Manager and Data Manager,Gerente,Marketing,Data Analysis
Senior Project Manager for LA,Gerente,Tecnología,Project Manager
Senior Project Manager Insights & Audience,Gerente,Marketing,Data Analysis
SENIOR PROJECT MANAGER LATAM,Gerente,Tecnología,Project Manager
Senior Project Manager LATAM @ Uber,Gerente,Tecnología,Project Manager
Senior Project Mánager Lead,Gerente,Bienes Raices,Proyecto
Senior Project Manager SSB,Gerente,Tecnología,Project Manager
"Senior Project Manager, HR Operational Excellence",Gerente,Recursos Humanos,
Senior Project Program Manager,Gerente,,
Senior Promotions Manager LATAM,Gerente,,
Senior Publisher,Gerente,,
Senior Publisher Account Manager,Gerente,Comercial,Cuentas
Senior Purchaser,Gerente,Administración,Compras
Senior Purchases Manager,Gerente,Administración,Compras
SENIOR PURCHASES MANAGER SALE SERVICES,Gerente,Administración,Compras
Senior Purchasing Analyst,,,Análisis
Senior Purchasing Manager,Gerente,Administración,Compras
Senior Purchasing Supervisor,Gerente,,
Senior Quality & Food Safety,,,
Senior Quality & Value Added Manager,Gerente,Operaciones,Calidad
Senior Quality Assurance Manager,Gerente,,
Senior Quality Manager,Gerente,Operaciones,Calidad
Senior Quality Supervisor,Gerente,Operaciones,Calidad
Senior Recruiting Manager - Executive Search,Gerente,Bienes Raices,Ingeniería
Senior Recruitment and Selection Manager,Gerente,,
